Прізвище;Ім’я;По батькові;Стать;Дата народження;Посада;Місто проживання;Адреса проживання;Телефон;Email
Аверченко;Гліб;Андрійович;Чоловіча;2000-01-10;Електромонтер;хутір Турка;шосе 8-ма Лінія Дачі Ковалевського, буд. 7 кв. 330, Мелітополь, 87089;+380 26 603-91-14;dholoborodko@example.net
Архимович;Симон;Леонтійович;Чоловіча;1976-06-11;Випробувач;село Звенигородка;площа Махачкалинська, буд. 3 кв. 331, Тараща, 37377;020 909-71-43;kamilla49@example.com
Фастенко;Лариса;Адаівна;Жіноча;1965-08-26;Живописець;місто Сорокине;шосе Гвоздичний, буд. 4, Острог, 55888;081 373 97 18;zinchuksolomiia@example.org
Лазаренко;Назар;Віталійович;Чоловіча;1994-06-21;Композитор;село Монастирище;провулок Бригадна, буд. 8 кв. 46, Ковель, 49287;+380 (93) 889-40-10;iakiv48@example.com
Бабак;Едита;Єлисаветаівна;Жіноча;1941-10-30;Музикознавець;селище Радехів;парк Тираспольська, буд. 174 кв. 315, Лиман , 74535;+380 01 380 20 43;andrusenkoboleslav@example.org
Піддубний;Валентин;Охрімович;Чоловіча;1987-07-29;Дерун;село Олександрівськ;набережна Лінія 38-ма, буд. 8 кв. 35, Вижниця, 02999;558-58-39;opanas30@example.net
Охримович;Марія;Златославаівна;Жіноча;1947-04-25;Мірошник;хутір Біляївка;площа Архітекторська, буд. 50, Роздільна, 94956;+380 (32) 852-80-63;rostyslaviatsenko@example.org
Данченко;Аврелій;Спасович;Чоловіча;1958-01-15;Детектив;хутір Зоринськ;шосе Саксаганського, буд. 50, Устилуг, 32465;026 761 77 01;emiliiataran@example.net
Вдовенко;Дмитро;Євгенович;Чоловіча;1968-11-11;Економіст;хутір Арциз;вулиця Будівельна, буд. 5, Снігурівка, 30677;350-24-26;frantsholyk@example.org
Демʼянчук;Віра;Віраівна;Жіноча;1951-10-01;Локсмайстер;хутір Хорол ;провулок Будівельний, буд. 28, Докучаєвськ, 45792;019 327-56-25;xkolodub@example.org
Бабариченко;Едита;Ольгаівна;Жіноча;1948-04-19;Математик;хутір Нікополь;набережна Марата 2-й, буд. 9 кв. 4, Копичинці, 31006;136-46-19;petrykalbina@example.net
Лесик;Ярина;Амаліяівна;Жіноча;2006-03-09;Соціолог;селище Узин;набережна Камишова, буд. 88, Олександрія, 78865;+380 52 255-31-36;qvakhnii@example.com
Ткаченко;Амалія;Богданнаівна;Жіноча;1976-08-06;Штукатур;місто Новий Розділ;сквер Поперечний, буд. 2, Попасна, 90861;475 25 34;iakiv40@example.org
Килимник;Аніта;Аллаівна;Жіноча;1977-07-06;Головний меркшейдер;хутір Полтава;провулок Державіна, буд. 753 кв. 1, Павлоград, 77828;+380 (00) 183-22-55;anastasiia07@example.com
Акименко;Богодар;Йосипович;Чоловіча;1973-05-17;Євнух;місто Дніпро ;площа Політкаторжан, буд. 175 кв. 472, Волноваха, 70352;844 69 05;kisaienko@example.com
Бабак;Арсен;Миколайович;Чоловіча;2003-04-15;Ботанік;місто Голубівка;проспект Обільний 2-й, буд. 918, Іршава, 76135;+380 71 128-12-53;shamraioksana@example.net
Єрошенко;Захар;Парменович;Чоловіча;1999-04-06;Кухар;місто Рахів;площа Лядова, буд. 102 кв. 5, Стрий, 32830;459-11-24;makar55@example.com
Мамчур;Тарас;Леонович;Чоловіча;1945-12-07;Кінорежисер;місто Жовті Води;узвіз Байкальська, буд. 50, Вінниця, 17636;094 885 69 84;okhrimzaika@example.net
Петлюра;Ірина;Іринаівна;Жіноча;2003-01-25;Клоун;село Кривий Ріг;провулок Маловського, буд. 0 кв. 9, Белз, 46066;025 06 77;panteleimontsiutsiura@example.com
Жайворон;Орест;Романович;Чоловіча;1947-08-16;Кіноактор;місто Соснівка ;парк Смоленська, буд. 183, Золоте, 06007;528 30 30;qvitruk@example.org
Доценко;Тереза;Адаівна;Жіноча;1951-11-10;Пекар;селище Обухів;парк Килимовий, буд. 3, Хирів, 20857;+380 35 154-38-44;iurchyshynsolomiia@example.org
Василашко;Павло;Ігнатович;Чоловіча;1950-09-29;Історик;місто Гайворон;шосе Володимира Вінниченка, буд. 32 кв. 1, Кагарлик, 27870;025 951 43 81;hukostap@example.net
Фастенко;Амалія;Оксанаівна;Жіноча;1995-05-16;Секретар;хутір Єнакієве;набережна Лугова, буд. 044, Буськ, 75905;077 858 20 91;malykmarusia@example.com
Худяк;Аврелій;Святославович;Чоловіча;2005-01-09;Епідеміолог;селище Сміла;шосе Кустанайська, буд. 8 кв. 9, Винники, 24375;094 638 95 44;bohdanna99@example.net
Ващук;Орина;Ярославаівна;Жіноча;1980-03-28;Архітектор;село Ужгород;площа Скворцова, буд. 8 кв. 2, Самбір, 85567;672 91 92;amvrosiihaidamaka@example.org
Бабич;Ігнат;Прохірович;Чоловіча;1969-03-30;Паралегал;хутір Зіньків;площа Гонтаренко, буд. 92, Липовець, 47476;+380 92 492-28-76;pishchenko@example.net
Андрієвич;Артем;Костянтинович;Чоловіча;2008-08-20;Музикознавець;хутір Глухів;вулиця Деревообробна, буд. 2, Стрий, 24090;+380 73 677-83-49;artemderevianko@example.com
Зінчук;Симон;Левкоович;Чоловіча;1941-02-04;Реставратор;хутір Рогатин;сквер Авангардна, буд. 251, Гірник , 22688;085 269-80-85;avhustyn68@example.com
Артимович;Пріска;Оленаівна;Жіноча;1965-08-22;Клоун;хутір Вашківці;узвіз 2-й Академічний тупик, буд. 5, Гребінка, 74967;629-57-30;lopanasenko@example.org
Філіпенко;Валентина;Віраівна;Жіноча;1986-06-25;Електрослюсар;хутір Кам'янка (Черкаська область);вулиця Теліги Олени, буд. 6, Ізмаїл, 28880;+380 26 967-29-56;nehodaleontii@example.org
Юрчишин;Вʼячеслав;Августинович;Чоловіча;2004-12-22;Підприємець;село Корець;вулиця Привокзальна, буд. 2 кв. 29, Новоград-Волинський, 19075;152-05-92;varfolomiidemianiuk@example.net
Єщенко;Арсен;Пантелеймонович;Чоловіча;1995-01-27;Стропальник;місто Дубляни;шосе Конструкторський, буд. 2 кв. 7, Зборів, 77104;013 776-59-39;khomaandriienko@example.com
Худяк;Орися;Ольгаівна;Жіноча;1947-01-09;Астрофізик;село Олевськ;провулок Соляний 5-й, буд. 9 кв. 28, Куп'янськ, 44596;+380 56 335-12-02;qtytarenko@example.com
Бабич;Світлана;Ольгаівна;Жіноча;1998-06-06;Державний службовець;село Новомосковськ;шосе Толбухіна, буд. 15, Часів Яр, 55070;+380 (40) 029-12-22;zhaliloviktoriia@example.net
Шаблій;Йосип;Назарович;Чоловіча;1973-04-24;Композитор;місто Коростень;узвіз Лютневий 1-й, буд. 82 кв. 62, Дубно, 04431;+380 23 135 20 42;panas24@example.org
Андрейко;Артем;Парменович;Чоловіча;1953-06-11;Композитор;село Теплодар;проспект Людмили Гінзбург, буд. 940, Підгайці, 45738;+380 (25) 068-43-23;bsomko@example.net
Титаренко;Франц;Єфремович;Чоловіча;1943-10-30;Детектив;село Моспине;площа Отрадна, буд. 83 кв. 093, Нікополь, 38919;082 965-78-65;ivan83@example.net
Ковпак;Ярослава;Василинаівна;Жіноча;1994-04-14;Дипломат;селище Кам'янське;площа Орликова, буд. 8, Чугуїв, 81241;+380 80 129-09-67;borys42@example.com
Свистун;Вікторія;Віраівна;Жіноча;2006-12-09;Дизайнер;хутір Рівне;сквер Лиманчик 2-й Лінія 11-та, буд. 71 кв. 992, Красилів, 56561;046 799 52 38;stanislav78@example.com
Тимчук;Вʼячеслав;Теодорович;Чоловіча;2005-07-21;Вчитель;селище Славутич;площа Дніпровська, буд. 1, Теребовля, 06023;+380 (91) 857-32-51;rudkookseniia@example.com
Фартушняк;Роксолана;Маріяівна;Жіноча;1966-09-23;Публіцист;місто Кам'янське;набережна Танфільєва, буд. 205 кв. 4, Новомиргород, 36783;070 234-23-02;vnikoliuk@example.net
Девдюк;Валерій;Гордійович;Чоловіча;1989-04-01;Диригент;селище Звенигородка;парк Локальна, буд. 356 кв. 95, Новоград-Волинський, 45856;058 23 23;albert45@example.net
Забашта;Варвара;Міленаівна;Жіноча;1975-05-09;Епідеміолог;село Вашківці;парк Педагогічний, буд. 172, Гребінка, 89693;096 305-73-63;fesenkodemyd@example.net
Забіла;Спас;Олексаович;Чоловіча;1951-11-03;Маркетолог;хутір Ананьїв;узвіз Травневий 5-й, буд. 33 кв. 677, Красноград, 62804;+380 37 924-09-69;dprokopovych@example.org
Єресько;Юхим;Венедиктович;Чоловіча;1946-06-20;Фольклорист;місто Гірське;провулок Лінія 44-та, буд. 43 кв. 6, Ізяслав, 56708;+380 30 405-86-30;dashenkosolomiia@example.com
Цибуленко;Соломія;Одаркаівна;Жіноча;1956-06-28;Хореограф;хутір Чортків;площа Соляний 1-й, буд. 547, Гадяч, 49790;+380 97 316-30-89;volodymyrpetrenko@example.com
Бабариченко;Володимир;Опанасович;Чоловіча;1992-12-24;Електрослюсар;хутір Севастополь;парк Пересипська 8-ма, буд. 40, Бориспіль, 35553;050 450-37-83;korbutvalentyna@example.org
Стельмах;Вʼячеслав;Єлисейович;Чоловіча;1951-12-03;Акушер;село Нововолинськ;набережна Новоберегова, буд. 414, Каховка, 61709;+380 17 596-68-53;martyn77@example.net
Луценко;Нестор;Сергійович;Чоловіча;1949-05-23;Хімік;хутір Одеса;площа Жолкова Бориса, буд. 2 кв. 0, Ужгород, 02725;+380 21 787 98 50;hresiarema@example.com
Гаврилів;Сергій;Левкоович;Чоловіча;1950-10-03;Професор;село Сімферополь;провулок Сирітський, буд. 8, Ромни, 87643;+380 41 659 45 76;vmykhailychenko@example.org
Дейнеко;Клавдія;Володимираівна;Жіноча;1991-02-03;Режисер;місто Кадіївка;площа Композитора Ніщинського, буд. 879 кв. 73, Ясинувата, 49240;+380 59 703 76 31;lesvovk@example.net
Скопенко;Любов;Валентинаівна;Жіноча;1979-05-25;М'ясник;село Берегове;сквер Пролетарський 3-й, буд. 491 кв. 21, Ізяслав, 26340;+380 (89) 197-23-84;mykytaartym@example.org
Бабій;Руслан;Валерійович;Чоловіча;1994-07-17;Євнух;село Новий Буг;узвіз Іванова Ігоря, буд. 270, Дунаївці, 83864;+380 30 897-13-25;anita77@example.com
Яценко;Едуард;Зорянович;Чоловіча;1969-03-04;Акушер;селище Ізяслав;площа Сінна, буд. 425 кв. 92, Ватутіне, 36253;073 652-87-21;bohdanzhuchenko@example.org
Бевз;Дмитро;Сергійович;Чоловіча;1952-04-12;Різноробочий;селище Краматорськ;сквер Косий, буд. 7, Оріхів, 47423;052 087 37 16;cnehoda@example.org
Саченко;Григорій;Єлисейович;Чоловіча;1963-01-11;Доцент;село Хоростків;площа Верф’яний, буд. 219, Копичинці, 47978;+380 04 338-70-29;qpiddubnyi@example.org
Ґерус;Володимир;Артемович;Чоловіча;2000-01-23;Штукатур;село Корець;провулок Академіка Панкратової, буд. 97, Великі Мости, 64568;+380 45 085 79 35;semenchenkosofiia@example.com
Лавренко;Прохір;Орхипович;Чоловіча;1960-05-30;Музичний редактор;село Кривий Ріг;вулиця Городня, буд. 597, Помічна, 28230;+380 99 916 36 52;iaroslav13@example.net
Бабак;Любов;Людмилаівна;Жіноча;1953-01-06;Шериф;селище Івано-Франківськ;шосе Глазунова 2-й, буд. 3, Бахмут, 96514;091 509 51 10;ncharnysh@example.com
Якимчук;Франц;Панасович;Чоловіча;1989-10-07;Провізор;хутір Добромиль;проспект Псковська, буд. 96 кв. 4, Олександрівськ, 91524;608 67 46;zlatoslava80@example.net
Гунько;Валентина;Богуславаівна;Жіноча;1942-02-19;Кінолог;місто Іллінці;набережна Псковський, буд. 1 кв. 8, Вінниця, 71031;+380 86 151-84-41;zinkevychmarta@example.net
Дейнеко;Людмила;Златославаівна;Жіноча;1942-03-15;Стропальник;селище Ічня;узвіз Весела, буд. 58, Донецьк, 94868;096-13-12;ltsymbaliuk@example.org
Бандурка;Спас;Вадимович;Чоловіча;1971-08-10;Ді-джей;місто Докучаєвськ;шосе Адміральський, буд. 40 кв. 2, Іршава, 08693;+380 (74) 078-62-15;marianaiesypenko@example.net
Скиба;Адам;Пантелеймонович;Чоловіча;1944-11-10;Ботанік;селище Любомль;провулок Професора Коровицького, буд. 82, Новомиргород, 40890;+380 36 802 05 24;iukhym45@example.org
Дейсун;Едита;Мартаівна;Жіноча;1989-09-15;Випробувач;місто Коломия;набережна Ванний, буд. 9, Коростень, 98405;596 47 91;svitlanahavrylenko@example.org
Чала;Оксенія;Вікторіяівна;Жіноча;1956-07-26;Перекладач;хутір Люботин;сквер Балтський 7-й, буд. 39 кв. 3, Калуш, 63377;+380 45 530-44-09;stefan81@example.org
Данько;Герман;Федірович;Чоловіча;1981-03-16;Архітектор;місто Рені;парк Маршала Малиновського, буд. 4, Сорокине, 28658;+380 95 023 06 68;valenkohennadii@example.com
Цушко;Данило;Остапович;Чоловіча;1966-07-02;Гицель;село Кіцмань;шосе Левітана, буд. 9 кв. 6, Дніпро , 08407;009 633-06-92;avhustyn62@example.net
Титаренко;Віталій;Кирилоович;Чоловіча;1944-04-15;Педагог;село Полонне;провулок Кипарисний 1-й, буд. 46, Красилів, 14220;369 17 04;myroslavhres@example.com
Христенко;Вадим;Орестович;Чоловіча;1947-04-08;Кінорежисер;хутір Кадіївка;узвіз Адміральський, буд. 842, Дергачі, 44851;386-27-26;makohonviacheslav@example.com
Мазур;Алла;Оксанаівна;Жіноча;1973-06-27;Гірник;місто Вільнянськ;парк Терещенка Володимира, буд. 092 кв. 801, Мала Виска, 94746;829 98 68;vandriienko@example.com
Дахно;Василина;Одаркаівна;Жіноча;2003-02-15;Драматург;село Городище ;парк Новаторів, буд. 72, Очаків, 84977;054 988 44 96;xbabko@example.com
Цісик;Ольга;Богданнаівна;Жіноча;1975-05-18;Гінеколог;місто Кропивницький;площа Літня, буд. 5, Українськ, 44157;025 021-13-28;cdzyndra@example.org
Петлюра;Симон;Аркадійович;Чоловіча;1963-12-04;Бібліотекар;хутір Чистякове;шосе Венгера, буд. 91, Антрацит , 29467;+380 (97) 860-38-25;iustyna76@example.com
Тихий;Ілля;Парменович;Чоловіча;1958-10-30;Реставратор;хутір Слов'янськ;сквер Депутатський, буд. 321, Боярка, 77200;+380 (08) 535-85-66;vashchenkobohodar@example.org
Усик;Климент;Лесьович;Чоловіча;1942-05-14;Фармацевт;місто Боярка;провулок Чорноморського козацтва, буд. 52 кв. 02, Люботин, 98932;507 83 94;bohdandemianiuk@example.com
Червоненко;Михайло;Варфоломійович;Чоловіча;1976-03-02;Дантист;місто Переяслав;провулок Мечникова, буд. 5 кв. 3, Молодогвардійськ, 59045;904 68 14;iatsenkoamvrosii@example.org
Алексійчук;Валентин;Прохірович;Чоловіча;1945-06-27;Клавішник;селище Шепетівка;узвіз Фонтанська дорога, буд. 249 кв. 95, Вознесенськ, 71795;015 559 71 00;demianenkomarta@example.net
Іщак;Марина;Златославаівна;Жіноча;1979-12-29;Зоолог;селище Слов'янськ;узвіз Сурикова 1-й, буд. 453, Марганець , 01518;064 859-86-33;omelianvlokh@example.net
Дуплій;Тарас;Стефанович;Чоловіча;1976-03-31;Менеджер;селище Зборів;парк Стороженка Олега, буд. 041 кв. 0, Балта, 38330;000 124 74 72;demianchukrostyslav@example.com
Чабан;Світлана;Анітаівна;Жіноча;1963-06-18;Слідчий;село Миколаїв;площа Сурикова 2-й, буд. 28 кв. 1, Дніпрорудне, 91542;098 666-81-67;ada98@example.org
Піддубна;Аліна;Оксанаівна;Жіноча;1993-08-30;Піаніст;селище Благовіщенське;узвіз Мічманський 1-й, буд. 76, Львів, 06198;+380 77 095-09-61;ifomenko@example.org
Баран;Ярослав;Степанович;Чоловіча;1966-10-30;Хореограф;місто Мала Виска;вулиця Чехова, буд. 9, Харцизьк, 60661;+380 02 486-54-33;iereskozorian@example.org
Олійник;Соломія;Єлисаветаівна;Жіноча;1992-12-25;Бібліотекар;хутір Узин;набережна Адміральський, буд. 939, Долина , 62079;055 354 77 11;aronetsvasylyna@example.com
Сомко;Єлисей;Леонтійович;Чоловіча;1949-01-01;Публіцист;місто Іршава;сквер Різовська, буд. 3 кв. 6, Бахмут, 99957;+380 84 741-17-44;babiukhennadii@example.net
Ющенко;Теодор;Костянтинович;Чоловіча;1964-11-29;Етнограф;місто Узин;вулиця Таїрова, буд. 368, Тернівка , 92790;087 101 78 95;hryhoriibezditko@example.net
Жаліло;Данило;Олесьович;Чоловіча;1963-07-07;Музичний редактор;селище Чернігів;узвіз Малиновський, буд. 82 кв. 177, Сколе, 27395;018 109 19 50;avhustyn47@example.net
Тиха;Марина;Ольгаівна;Жіноча;1982-09-27;Флорист;місто Снятин;вулиця Локомотивна, буд. 15 кв. 317, Тиврів, 07977;978-66-10;alevtynbhydenko@example.com
Артеменко;Артем;Соломонович;Чоловіча;1985-11-11;Літературознавець;село Олешки;шосе Сімферопольська, буд. 799, Івано-Франківськ, 47679;012-44-78;pnehoda@example.com
Данчук;Альбіна;Маріяівна;Жіноча;1972-01-01;Сценарист;місто Зіньків;узвіз Глазунова 2-й, буд. 85 кв. 234, Яремче, 12473;640 71 92;usirobaba@example.org
Шинкаренко;Розалія;Маринаівна;Жіноча;1977-05-23;Агроном;селище Інкерман;площа Безіменний, буд. 046, Глиняни, 33961;219-99-04;serhii64@example.org
Заїка;Анастасія;Клавдіяівна;Жіноча;1950-04-20;Конструктор;село Перевальськ;провулок Ризька, буд. 2, Бурштин , 70476;297 37 27;baranetsivan@example.net
Калениченко;Степан;Августинович;Чоловіча;1964-02-09;Секретар;село Ананьїв;узвіз Державіна, буд. 13 кв. 80, Берегове, 31396;+380 (93) 026-18-94;chavrysh@example.org
Заруба;Сніжана;Пріскаівна;Жіноча;1988-07-02;Бібліотекар;місто Глобине;проспект Чорноморського козацтва, буд. 783 кв. 4, Сорокине, 37395;060-02-44;alina83@example.org
Абрамчук;Віолетта;Маринаівна;Жіноча;1977-05-08;Юрист;селище Новгород-Сіверський;сквер Хімічний 3-й, буд. 175 кв. 30, Краматорськ, 38261;+380 97 752-84-59;dubasavrelii@example.org
Баран;Левко;Глібович;Чоловіча;1940-01-31;Медик;хутір Овруч;проспект Дунаєва, буд. 279, Слов'янськ, 09684;575-77-90;pmazepa@example.com
Забашта;Аарон;Маркоович;Чоловіча;1958-10-16;Медик;місто Фастів;шосе Нескучна, буд. 65, Лутугине, 57738;044 009-31-61;ielyseiparasiuk@example.org
Дробʼязко;Василь;Георгійович;Чоловіча;1984-03-01;Історик;місто Подільськ;шосе Пересипський узвіз, буд. 553 кв. 278, Щолкіне, 21196;+380 38 350-14-53;orest88@example.org
Аверченко;Христина;Ліліяівна;Жіноча;1960-06-21;Програміст;місто Трускавець;набережна Скрипковий, буд. 0 кв. 63, Дебальцеве, 58238;993 41 34;amaliia84@example.com
Девдюк;Охрім;Леопольдович;Чоловіча;1942-04-08;Сценарист;хутір Баранівка;площа Юннатів 2-й, буд. 4, Броди, 14180;+380 (01) 855-46-75;vasylenkoorkhyp@example.org
Забарний;Володимир;Євгенович;Чоловіча;1983-03-04;Головний меркшейдер;місто Володимир-Волинський;набережна Шишкіна 2-й, буд. 595 кв. 50, Бібрка, 08616;052 217-60-19;sviatoslava01@example.org
Чумак;Петро;Аврелійович;Чоловіча;2003-04-23;Нотаріус;село Гребінка;узвіз Український 1-й, буд. 4, Вовчанськ, 09904;+380 (59) 236-71-60;prokhir93@example.net
Шамрай;Тереза;Амаліяівна;Жіноча;1940-12-02;Випробувач;місто Вознесенівка;вулиця Тимірязєва 3-й, буд. 448 кв. 1, Волочиськ, 67725;+380 97 505-40-25;adaiarema@example.com
Вернидуб;Герман;Парменович;Чоловіча;1943-10-16;Няня;хутір Остер ;шосе Володимира Хавкіна, буд. 5, Молочанськ, 52213;+380 55 814 72 57;symon71@example.com
Чайка;Леонтій;Яківович;Чоловіча;1946-01-07;Драматург;місто Луганськ;узвіз Терещенка Володимира, буд. 163, Борислав, 98802;+380 24 522-80-85;babiichukfedir@example.net
Смик;Яків;Миронович;Чоловіча;1993-07-09;Мікробіолог;село Славутич;набережна Дем’янова, буд. 5 кв. 09, Попасна, 95801;+380 (13) 937-13-58;akymenkoruslan@example.org
Швачка;Роксолана;Анжелаівна;Жіноча;1987-01-11;Промисловець;місто Луцьк;площа Тіниста, буд. 0, Новоселиця, 22456;722 08 73;qhuzenko@example.com
Годунок;Сніжана;Терезаівна;Жіноча;1958-12-24;Намотувальник;селище Вугледар;набережна 40-річчя оборони Одеси, буд. 90 кв. 69, Залізне, 89070;+380 35 239-93-27;trokhymvlasenko@example.net
Тесля;Ярема;Лесьович;Чоловіча;1987-11-06;Кінолог;селище Почаїв;вулиця Пейзажна, буд. 1 кв. 746, Стрий, 84929;+380 60 377-71-39;yishchak@example.com
Шамрай;Спас;Соломонович;Чоловіча;1964-04-11;Краєзнавець;хутір Валки ;проспект Нафтовиків 1-й, буд. 4, Вільногірськ, 05575;+380 24 381 63 88;leopoldbalaban@example.com
Ляшко;Ірина;Альбінаівна;Жіноча;1990-08-21;Ювелір;село Новоград-Волинський;шосе Юрія Яновського, буд. 5, Судак , 61960;398 82 01;roman44@example.com
Данькевич;Мартин;Варфоломійович;Чоловіча;1988-11-08;Актор;місто Новоазовськ;провулок Гвоздична, буд. 92, Київ, 88212;+380 97 918 69 26;volodymyrkopytko@example.org
Козаченко;Богодар;Орестович;Чоловіча;1979-12-03;Фізик;селище Зоринськ;узвіз Байкальська, буд. 14, Слов'янськ, 05088;+380 (08) 389-74-48;vasylbaidak@example.com
Макогон;Мирон;Яремаович;Чоловіча;1953-10-24;Кур'єр;селище Обухів;узвіз Вапняний 2-й, буд. 5, Татарбунари, 55267;075 05 66;maksym79@example.com
Забара;Варфоломій;Богуславович;Чоловіча;1979-03-07;М'ясник;хутір Деражня;провулок Псковський, буд. 95, Нетішин, 70268;928 45 21;mykyta90@example.com
Акименко;Мілена;Ярославаівна;Жіноча;1969-12-13;Золотар;село Кременчук;площа Успенська, буд. 8, Ічня, 40672;814 47 91;avrelii72@example.net
Давимука;Розалія;Соломіяівна;Жіноча;1958-10-29;Флорист;хутір Мена ;вулиця 6-та Лінія Марії Демченко, буд. 09 кв. 68, Вознесенськ, 36912;054 150-57-52;tkachbohuslav@example.com
Лукаш;Микита;Мирославович;Чоловіча;1943-12-03;Редактор;місто Одеса;вулиця Ланжеронівський узвіз, буд. 84, Сквира, 43474;338 47 37;saienkomarko@example.org
Башполченко;Людмила;Ольгаівна;Жіноча;1961-12-12;Машиніст;місто Оріхів;проспект Адміральський, буд. 7 кв. 42, Бахчисарай, 53780;074 836-37-80;sdeineka@example.org
Лавренко;Борислав;Борисович;Чоловіча;2006-01-19;Гірник;село Добропілля;сквер Волоколамська, буд. 7 кв. 7, Новий Буг, 91348;036 100 68 03;iurchenkovolodymyra@example.org
Гайдай;Сергій;Федірович;Чоловіча;1999-10-08;Стоматолог;місто Шаргород;проспект Орликова, буд. 957 кв. 102, Добромиль, 47888;030 414-45-38;iaremkivsemen@example.com
Чайка;Адам;Лукʼянович;Чоловіча;1981-09-04;Піаніст;селище Корсунь-Шевченківський;набережна Траса Здоров'я, буд. 60 кв. 881, Березівка, 33592;+380 (18) 718-27-57;feofanskopenko@example.org
Скирда;Арсен;Арсенович;Чоловіча;1980-06-17;Дантист;село Вінниця;провулок Кустанайський 2-й, буд. 2 кв. 13, Помічна, 88285;+380 (14) 844-49-77;sofiia47@example.com
Василенко;Амвросій;Вікторович;Чоловіча;1995-06-09;Професор;місто Сокиряни;проспект Вапняний 1-й, буд. 771, Луганськ, 20328;009 545 14 53;ydrozd@example.org
Жадан;Віра;Орисяівна;Жіноча;1972-08-02;Гірничий інженер;місто Херсон;парк Мигдальна, буд. 5, Ананьїв, 94950;021 672-56-80;prokhir27@example.org
Зубко;Єфрем;Стефанович;Чоловіча;1971-12-15;Реставратор;місто Бердичів;набережна Лугова, буд. 642, Новомосковськ, 97718;096 921 14 07;ievtushokaaron@example.com
Дубас;Євген;Мартинович;Чоловіча;1970-09-03;Складальник;місто Південне ;набережна Дмитрія Донського, буд. 40 кв. 97, Хрустальний, 86429;+380 24 469 82 63;priskafilipenko@example.org
Абрамчук;Марина;Софіяівна;Жіноча;1959-09-11;Футболіст;місто П'ятихатки;шосе Шампанський, буд. 0 кв. 4, Приморськ (Україна), 81227;076 513 40 04;nadiiashchors@example.com
Гайденко;Василина;Марʼянаівна;Жіноча;1946-01-25;Режисер;село Галич;проспект Лінія 53-тя, буд. 5, Первомайськ, 17361;760 60 37;terezababenko@example.com
Яремчук;Анжела;Світланаівна;Жіноча;1958-12-30;Конструктор;місто Інкерман;шосе Чорноморка, буд. 258, Бориспіль, 64020;466 48 35;viktoriia26@example.com
Саченко;Роман;Августинович;Чоловіча;2004-06-16;Няня;хутір Кілія;набережна Маріїнська, буд. 73, Борщів, 17253;+380 (23) 857-90-77;vitaliiiesypenko@example.net
Гайдай;Сергій;Андрійович;Чоловіча;1979-02-09;Електромонтер;місто Василівка ;проспект Хімічний 2-й, буд. 341 кв. 1, Алчевськ, 63297;+380 82 387 84 31;iermolenkoivan@example.org
Карпенко;Зиновій;Пантелеймонович;Чоловіча;2000-08-05;Дантист;хутір Куп'янськ;узвіз 14-та ст. Великого Фонтану пляж, буд. 760 кв. 6, Суми, 26938;007 366-46-56;rebrykolena@example.com
Гайдамака;Онисим;Макарович;Чоловіча;1990-08-30;Хореограф;село Свалява;узвіз Лиманна, буд. 506, Ужгород, 18394;945-32-28;iefrem88@example.com
Гунько;Юстина;Ганнаівна;Жіноча;2004-01-17;Єгер;село Костопіль;вулиця Кордонний, буд. 875 кв. 0, Городище , 14424;+380 34 976 96 01;levko17@example.org
Корпанюк;Тимофій;Леонтійович;Чоловіча;1997-11-27;Ветеринар;село Волноваха;сквер Наливна, буд. 9, Гнівань, 78654;+380 (18) 200-28-15;danna56@example.com
Зінчук;Орися;Алінаівна;Жіноча;2005-03-02;Співак;хутір Часів Яр;набережна Польська, буд. 14 кв. 148, Кам'янець-Подільський, 13451;+380 64 419-03-96;leskonoplenko@example.net
Демʼянчук;Ганна;Анжелаівна;Жіноча;1993-11-21;Стропальник;хутір Соснівка ;площа Лінія 28-ма, буд. 91 кв. 449, Сватове, 96820;+380 49 505-82-95;haidenkooleh@example.com
Гузій;Єлисей;Андрійович;Чоловіча;1978-08-11;Бухгалтер;село Пологи ;узвіз Овідіопольський, буд. 3, Остер , 50379;025 718-55-23;wkaras@example.com
Сірченко;Богуслав;Федірович;Чоловіча;1969-09-23;Громадський діяч;селище Ямпіль;узвіз Монастирський, буд. 387 кв. 65, Каховка, 26190;844-28-68;fedirokhrimenko@example.com
Теліженко;Ростислав;Ярославович;Чоловіча;2003-03-26;Біолог;місто Антрацит ;шосе Тимірязєва 5-й, буд. 133 кв. 6, Обухів, 40183;356 25 51;khoma22@example.org
Козаченко;Опанас;Омелянович;Чоловіча;1967-05-18;Бібліотекар;селище Добромиль;площа Балтський 3-й, буд. 74 кв. 59, Біляївка, 25217;+380 (82) 599-90-39;pelekhbohuslava@example.org
Цюцюра;Омелян;Вʼячеславович;Чоловіча;1941-07-24;Композитор;хутір Часів Яр;парк Асташкіна, буд. 2, Запоріжжя, 89020;+380 29 477-47-70;erikakorolenko@example.com
Рудько;Данило;Варфоломійович;Чоловіча;1958-06-01;Фотограф;місто Канів;узвіз Заводська 2-га, буд. 6 кв. 19, Вашківці, 05389;095 362 03 49;marusia29@example.com
Зінченко;Валентина;Оксанаівна;Жіноча;1978-10-08;Географ;селище Бахмут;парк Косовський, буд. 31 кв. 53, Київ, 93996;+380 10 719-73-74;anita10@example.net
